trip_id,driver_id,zone,hour,trip_duration_min,distance_miles,delivery_success,delay_min,vehicle_type,speed_mph,time_of_day,is_delayed
110,71,North,3,26.8,8.43,0,4.2,Van,18.87,Night,0
111,9,South,17,23.5,6.12,1,0.4,Car,15.63,Evening,0
112,88,East,0,23.5,7.18,0,3.3,Car,18.33,Night,0
113,1,North,10,18.4,5.86,0,18.0,Bike,19.11,Morning,1
114,8,West,2,25.9,7.11,1,0.5,Bike,16.47,Night,0
115,88,East,7,13.2,4.03,1,3.5,Bike,18.32,Morning,0
116,63,West,4,32.5,3.27,1,4.6,Van,6.04,Night,0
117,11,West,19,22.7,3.68,1,13.4,Bike,9.73,Evening,1
118,81,West,20,15.4,4.45,1,1.8,Van,17.34,Evening,0
119,8,North,21,12.2,6.63,1,3.5,Bike,32.61,Late Night,0
120,35,Downtown,21,23.7,8.3,1,21.8,Van,21.01,Late Night,1
121,35,East,4,24.0,3.79,1,7.3,Bike,9.48,Night,0
122,33,South,10,19.8,10.06,1,8.3,Van,30.48,Morning,0
123,5,Downtown,11,30.0,4.55,1,7.6,Car,9.1,Morning,0
124,41,North,21,28.5,5.04,1,3.6,Bike,10.61,Late Night,0
125,28,West,8,25.6,5.57,1,2.8,Bike,13.05,Morning,0
126,7,South,20,15.7,3.74,1,1.5,Car,14.29,Evening,0
127,73,East,12,17.6,4.0,1,3.1,Bike,13.64,Afternoon,0
128,72,Downtown,21,11.0,4.39,1,0.1,Van,23.95,Late Night,0
129,12,Downtown,19,23.1,2.65,1,0.5,Van,6.88,Evening,0
130,34,South,2,30.6,3.36,1,1.7,Van,6.59,Night,0
131,33,North,12,12.9,4.85,1,2.0,Van,22.56,Afternoon,0
132,48,East,21,19.4,4.19,1,6.1,Car,12.96,Late Night,0
133,23,South,10,24.5,3.7,1,0.9,Car,9.06,Morning,0
134,62,West,10,30.6,7.05,1,7.9,Van,13.82,Morning,0
135,88,East,20,10.2,1.5,1,8.1,Van,8.82,Evening,0
136,37,Downtown,19,47.2,6.17,1,4.4,Bike,7.84,Evening,0
137,99,South,20,32.5,5.3,1,3.4,Van,9.78,Evening,0
138,44,Downtown,6,19.0,5.57,1,3.1,Van,17.59,Morning,0
139,86,Downtown,16,14.3,2.54,1,2.7,Car,10.66,Afternoon,0
140,91,Downtown,15,27.8,3.89,1,0.5,Bike,8.4,Afternoon,0
141,35,North,13,29.7,5.78,1,5.3,Car,11.68,Afternoon,0
142,65,Downtown,0,15.1,3.92,1,4.3,Van,15.58,Night,0
143,99,West,10,13.9,1.93,1,0.1,Van,8.33,Morning,0
144,47,West,12,16.1,4.46,1,1.1,Car,16.62,Afternoon,0
145,78,East,0,25.6,4.62,1,2.9,Bike,10.83,Night,0
146,3,Downtown,1,25.8,6.46,1,11.6,Bike,15.02,Night,1
147,1,Downtown,8,46.6,7.27,1,23.2,Bike,9.36,Morning,1
148,5,South,12,5.0,5.28,1,7.0,Bike,63.36,Afternoon,0
149,90,North,4,18.3,5.87,0,6.9,Car,19.25,Night,0
150,14,East,8,19.7,7.11,1,2.7,Car,21.65,Morning,0
151,27,Downtown,12,29.9,4.62,1,4.2,Car,9.27,Afternoon,0
152,9,South,4,30.3,6.08,1,1.3,Bike,12.04,Night,0
153,79,North,14,23.0,2.16,1,6.7,Van,5.63,Afternoon,0
154,15,East,6,40.1,3.87,1,0.3,Bike,5.79,Morning,0
155,90,East,13,13.8,8.43,1,2.7,Bike,36.65,Afternoon,0
156,42,Downtown,15,18.0,7.05,1,8.9,Van,23.5,Afternoon,0
157,77,East,5,11.8,6.67,1,19.5,Car,33.92,Night,1
158,51,South,1,23.5,3.23,1,6.0,Van,8.25,Night,0
159,63,East,15,21.7,1.95,0,1.1,Bike,5.39,Afternoon,0
160,96,West,18,32.9,3.08,1,4.2,Car,5.62,Evening,0
161,52,South,4,43.5,5.21,1,4.1,Van,7.19,Night,0
162,96,North,3,39.9,6.06,1,16.9,Bike,9.11,Night,1
163,4,North,13,12.8,8.17,0,9.2,Van,38.3,Afternoon,0
164,94,Downtown,5,25.5,2.59,1,0.3,Van,6.09,Night,0
165,23,Downtown,7,32.7,3.87,1,1.2,Car,7.1,Morning,0
166,15,West,23,31.7,8.27,1,9.2,Van,15.65,Late Night,0
167,43,North,2,48.1,1.82,1,18.0,Van,2.27,Night,1
168,29,North,3,22.8,5.44,1,1.7,Bike,14.32,Night,0
169,36,North,0,25.8,1.15,0,5.9,Car,2.67,Night,0
170,13,North,1,47.4,4.3,1,1.8,Bike,5.44,Night,0
171,32,East,12,29.2,8.93,1,0.2,Van,18.35,Afternoon,0
172,71,South,8,19.0,6.1,1,8.8,Car,19.26,Morning,0
173,59,South,11,15.3,7.65,1,6.7,Van,30.0,Morning,0
174,86,West,9,27.1,6.09,1,0.3,Bike,13.48,Morning,0
175,28,East,9,35.7,6.06,1,0.8,Bike,10.18,Morning,0
176,66,North,17,35.5,1.74,1,38.3,Car,2.94,Evening,1
177,42,North,11,16.3,9.13,1,5.3,Bike,33.61,Morning,0
178,45,Downtown,21,26.0,8.26,1,8.1,Car,19.06,Late Night,0
179,62,Downtown,15,20.5,3.51,1,2.5,Van,10.27,Afternoon,0
180,57,West,22,23.5,8.06,1,3.7,Bike,20.58,Late Night,0
181,6,North,5,34.1,7.13,1,4.8,Bike,12.55,Night,0
182,28,West,23,24.5,6.31,1,8.2,Van,15.45,Late Night,0
183,28,East,23,31.5,5.43,0,2.1,Van,10.34,Late Night,0
184,44,South,20,31.8,4.8,1,5.6,Car,9.06,Evening,0
185,84,North,23,18.9,8.48,1,7.5,Van,26.92,Late Night,0
186,30,East,9,37.3,5.27,1,8.2,Van,8.48,Morning,0
187,62,North,14,14.0,5.94,1,3.5,Van,25.46,Afternoon,0
188,75,Downtown,8,12.4,8.31,1,3.2,Car,40.21,Morning,0
189,92,West,23,20.2,7.33,1,0.6,Van,21.77,Late Night,0
190,89,Downtown,1,15.2,2.53,1,3.4,Van,9.99,Night,0
191,62,South,17,31.1,3.83,1,6.1,Bike,7.39,Evening,0
192,97,Downtown,11,50.6,3.36,1,12.7,Car,3.98,Morning,1
193,1,North,2,36.3,5.89,1,0.7,Bike,9.74,Night,0
194,27,Downtown,6,16.8,4.04,1,17.4,Car,14.43,Morning,1
195,62,North,8,15.0,4.24,1,1.3,Car,16.96,Morning,0
196,77,South,7,34.8,4.53,1,1.0,Car,7.81,Morning,0
197,3,Downtown,5,13.2,5.74,1,0.6,Bike,26.09,Night,0
198,70,West,0,15.2,4.48,1,23.1,Car,17.68,Night,1
199,72,West,13,28.7,6.94,1,4.1,Van,14.51,Afternoon,0
200,27,West,15,19.6,2.82,1,1.6,Bike,8.63,Afternoon,0
201,9,Downtown,15,26.2,2.04,1,1.9,Van,4.67,Afternoon,0
202,62,Downtown,3,21.7,3.7,1,15.0,Van,10.23,Night,1
203,37,Downtown,5,24.7,2.97,1,11.5,Van,7.21,Night,1
204,97,North,14,33.7,5.11,1,2.2,Van,9.1,Afternoon,0
205,51,South,21,31.2,4.2,0,0.3,Van,8.08,Late Night,0
206,44,West,7,34.2,2.4,1,9.0,Van,4.21,Morning,0
207,24,North,0,31.4,2.36,0,12.3,Bike,4.51,Night,1
208,79,West,12,32.1,5.37,1,9.1,Bike,10.04,Afternoon,0
209,59,North,17,25.0,6.8,1,12.2,Bike,16.32,Evening,1
210,32,Downtown,17,10.5,3.59,1,4.3,Van,20.51,Evening,0
211,96,West,12,23.9,4.83,1,9.2,Car,12.13,Afternoon,0
212,88,Downtown,21,28.2,3.72,0,14.4,Bike,7.91,Late Night,1
213,52,West,13,25.7,4.7,1,11.0,Bike,10.97,Afternoon,1
214,62,East,10,29.2,8.52,1,4.4,Bike,17.51,Morning,0
215,58,North,6,45.6,10.0,1,6.9,Bike,13.16,Morning,0
216,52,East,17,20.0,4.11,0,6.4,Van,12.33,Evening,0
217,12,North,20,21.0,3.98,1,8.1,Van,11.37,Evening,0
218,39,South,21,37.1,5.86,1,1.3,Car,9.48,Late Night,0
219,2,West,3,26.2,5.24,1,0.0,Van,12.0,Night,0
220,3,South,16,29.5,6.36,1,3.6,Bike,12.94,Afternoon,0
221,56,South,18,19.1,4.75,1,7.3,Bike,14.92,Evening,0
222,81,North,13,17.7,4.64,1,0.7,Car,15.73,Afternoon,0
223,59,East,9,12.9,5.88,1,3.8,Van,27.35,Morning,0
224,2,Downtown,5,26.7,5.48,1,1.9,Bike,12.31,Night,0
225,2,North,17,15.2,4.04,1,9.1,Car,15.95,Evening,0
226,92,Downtown,3,14.0,5.25,0,0.5,Van,22.5,Night,0
227,54,South,10,31.6,5.25,1,9.4,Van,9.97,Morning,0
228,87,Downtown,12,18.7,0.5,0,4.7,Bike,1.6,Afternoon,0
229,96,East,7,13.0,4.89,1,12.6,Van,22.57,Morning,1
230,97,North,9,12.0,6.81,1,13.7,Car,34.05,Morning,1
231,1,East,22,34.1,4.12,1,8.3,Car,7.25,Late Night,0
232,19,East,10,23.9,3.51,1,3.8,Van,8.81,Morning,0
233,2,North,2,21.0,3.52,0,0.8,Bike,10.06,Night,0
234,53,East,14,26.7,5.66,0,1.3,Van,12.72,Afternoon,0
235,44,West,7,25.8,3.03,1,2.7,Car,7.05,Morning,0
236,90,West,19,19.7,5.48,1,6.5,Van,16.69,Evening,0
237,32,West,17,21.7,5.32,1,3.9,Car,14.71,Evening,0
238,70,Downtown,20,32.3,2.33,1,2.9,Van,4.33,Evening,0
239,32,East,0,33.2,6.89,1,3.2,Bike,12.45,Night,0
240,68,North,23,16.6,7.5,1,6.8,Car,27.11,Late Night,0
241,55,North,7,37.8,5.5,1,0.2,Van,8.73,Morning,0
242,75,Downtown,2,45.1,5.08,1,2.9,Van,6.76,Night,0
243,56,North,0,22.1,4.0,1,4.3,Car,10.86,Night,0
244,17,West,19,21.8,4.08,1,4.4,Bike,11.23,Evening,0
245,38,East,15,16.0,4.13,1,4.8,Bike,15.49,Afternoon,0
246,24,North,8,18.3,6.49,0,0.3,Car,21.28,Morning,0
247,69,North,16,28.2,6.15,1,4.1,Car,13.09,Afternoon,0
248,98,South,15,48.2,1.06,1,4.0,Van,1.32,Afternoon,0
249,70,South,22,32.3,2.04,1,9.7,Bike,3.79,Late Night,0
250,86,South,5,21.7,3.34,1,7.1,Bike,9.24,Night,0
251,11,East,22,20.8,4.07,1,0.2,Van,11.74,Late Night,0
252,16,West,6,18.4,5.86,1,4.1,Car,19.11,Morning,0
253,97,West,23,35.6,3.92,1,5.9,Van,6.61,Late Night,0
254,73,West,15,22.6,5.84,1,4.3,Van,15.5,Afternoon,0
255,59,East,7,29.5,8.19,1,5.6,Car,16.66,Morning,0
256,70,East,9,22.6,3.83,1,0.6,Van,10.17,Morning,0
257,80,South,13,46.2,3.17,0,0.9,Van,4.12,Afternoon,0
258,93,North,10,19.7,2.75,0,4.4,Bike,8.38,Morning,0
259,3,Downtown,1,18.0,2.93,1,8.1,Car,9.77,Night,0
260,20,Downtown,11,20.2,6.11,1,0.1,Van,18.15,Morning,0
261,59,North,19,29.2,6.52,1,2.9,Car,13.4,Evening,0
262,36,South,19,39.3,6.25,1,24.2,Van,9.54,Evening,1
263,19,North,12,29.3,2.9,1,7.3,Van,5.94,Afternoon,0
264,90,North,14,32.1,4.23,1,3.0,Van,7.91,Afternoon,0
265,67,Downtown,11,30.7,4.24,0,0.5,Van,8.29,Morning,0
266,19,South,12,8.3,8.43,1,2.2,Van,60.94,Afternoon,0
267,20,East,7,24.8,5.59,1,0.8,Bike,13.52,Morning,0
268,96,Downtown,15,21.8,5.22,1,12.7,Car,14.37,Afternoon,1
269,71,East,2,23.6,5.56,0,5.8,Car,14.14,Night,0
270,52,South,12,16.8,4.14,1,9.7,Car,14.79,Afternoon,0
271,33,North,11,33.7,5.81,1,11.4,Car,10.34,Morning,1
272,40,West,18,25.5,4.04,1,4.7,Van,9.51,Evening,0
273,39,West,1,25.4,7.86,0,0.0,Van,18.57,Night,0
274,82,South,0,23.5,3.26,1,4.1,Car,8.32,Night,0
275,1,West,7,18.7,5.38,1,8.1,Bike,17.26,Morning,0
276,11,East,8,7.2,6.34,1,1.9,Van,52.83,Morning,0
277,92,West,7,27.7,4.84,1,13.1,Car,10.48,Morning,1
278,57,South,20,26.1,5.25,1,28.8,Bike,12.07,Evening,1
279,89,South,16,30.3,4.6,1,4.0,Car,9.11,Afternoon,0
280,50,East,8,25.7,3.17,1,3.8,Van,7.4,Morning,0
281,23,West,5,14.2,8.47,1,5.3,Van,35.79,Night,0
282,31,West,14,17.1,4.28,1,4.2,Bike,15.02,Afternoon,0
283,94,North,22,38.4,2.39,1,0.9,Van,3.73,Late Night,0
284,42,Downtown,23,28.2,3.55,1,1.6,Car,7.55,Late Night,0
285,99,South,12,33.0,7.66,1,1.1,Car,13.93,Afternoon,0
286,7,North,20,34.2,9.55,1,0.4,Bike,16.75,Evening,0
287,16,South,21,15.2,5.74,1,0.8,Car,22.66,Late Night,0
288,90,North,11,21.6,6.58,1,17.9,Van,18.28,Morning,1
289,60,Downtown,12,31.8,8.69,0,4.0,Bike,16.4,Afternoon,0
290,2,North,6,16.8,3.08,1,0.7,Van,11.0,Morning,0
291,1,South,22,20.9,5.78,1,6.2,Van,16.59,Late Night,0
292,48,West,17,19.8,8.65,1,3.2,Van,26.21,Evening,0
293,12,South,13,17.6,6.68,1,1.3,Van,22.77,Afternoon,0
294,69,East,10,23.7,4.46,0,14.4,Van,11.29,Morning,1
295,37,East,13,20.1,5.72,1,1.3,Van,17.07,Afternoon,0
296,32,East,16,21.0,8.73,1,0.5,Bike,24.94,Afternoon,0
297,9,East,23,27.7,5.3,0,1.2,Bike,11.48,Late Night,0
298,99,Downtown,20,35.0,3.15,1,12.1,Van,5.4,Evening,1
299,19,West,1,32.6,6.22,1,9.8,Van,11.45,Night,0
300,48,West,18,26.8,3.19,1,11.2,Bike,7.14,Evening,1
301,80,South,15,41.4,3.53,1,12.4,Bike,5.12,Afternoon,1
302,3,North,21,31.6,4.07,1,0.4,Van,7.73,Late Night,0
303,20,South,9,33.0,4.96,1,6.2,Car,9.02,Morning,0
304,24,South,21,23.4,3.31,1,5.5,Car,8.49,Late Night,0
305,54,South,7,21.1,5.82,1,24.7,Bike,16.55,Morning,1
306,33,South,20,28.8,4.31,1,6.3,Bike,8.98,Evening,0
307,24,West,4,34.1,6.64,1,7.9,Car,11.68,Night,0
308,75,North,6,26.7,5.08,1,6.3,Car,11.42,Morning,0
309,72,South,12,18.7,4.69,0,4.8,Car,15.05,Afternoon,0
310,36,West,15,12.2,4.77,1,4.0,Car,23.46,Afternoon,0
311,38,South,4,9.2,7.92,0,17.4,Car,51.65,Night,1
312,84,East,15,25.4,6.76,1,13.8,Bike,15.97,Afternoon,1
313,99,South,14,33.2,2.14,1,2.9,Bike,3.87,Afternoon,0
314,89,South,8,5.0,4.0,1,1.7,Car,48.0,Morning,0
315,99,Downtown,21,18.9,5.19,1,3.6,Van,16.48,Late Night,0
316,25,East,22,17.3,0.65,1,6.9,Van,2.25,Late Night,0
317,93,North,11,28.8,5.86,0,2.6,Car,12.21,Morning,0
318,18,South,7,18.3,3.3,1,3.9,Bike,10.82,Morning,0
319,82,North,12,12.7,3.53,1,1.8,Car,16.68,Afternoon,0
320,66,East,4,18.9,3.6,1,2.8,Van,11.43,Night,0
321,54,South,13,17.3,7.52,1,15.8,Car,26.08,Afternoon,1
322,35,Downtown,15,25.1,6.22,1,1.2,Van,14.87,Afternoon,0
323,80,West,10,22.9,4.1,1,22.4,Van,10.74,Morning,1
324,61,Downtown,19,29.4,3.88,1,1.2,Van,7.92,Evening,0
325,41,Downtown,11,24.9,5.33,1,1.9,Car,12.84,Morning,0
326,100,West,14,35.1,8.19,1,0.5,Van,14.0,Afternoon,0
327,33,West,23,20.5,4.49,1,7.0,Van,13.14,Late Night,0
328,68,West,11,31.2,1.27,1,0.1,Car,2.44,Morning,0
329,33,South,8,28.2,5.34,1,7.8,Van,11.36,Morning,0
330,14,North,0,22.0,5.55,1,4.3,Van,15.14,Night,0
331,21,North,2,31.9,5.74,1,6.9,Van,10.8,Night,0
332,48,West,11,17.0,4.92,1,7.6,Car,17.36,Morning,0
333,20,Downtown,19,37.4,5.27,1,0.7,Car,8.45,Evening,0
334,8,East,12,17.2,3.04,1,0.1,Bike,10.6,Afternoon,0
335,7,West,22,11.6,7.18,1,0.9,Van,37.14,Late Night,0
336,67,Downtown,5,10.8,3.95,1,2.4,Car,21.94,Night,0
337,17,Downtown,9,25.9,4.48,1,0.4,Van,10.38,Morning,0
338,33,South,9,19.4,5.79,1,3.1,Bike,17.91,Morning,0
339,48,South,15,26.8,5.42,1,1.7,Bike,12.13,Afternoon,0
340,76,North,0,14.0,8.15,0,2.3,Car,34.93,Night,0
341,59,North,15,29.9,7.62,1,14.1,Car,15.29,Afternoon,1
342,86,East,3,26.8,4.01,1,6.4,Bike,8.98,Night,0
343,22,East,5,20.4,8.96,1,5.4,Bike,26.35,Night,0
344,30,East,18,31.2,6.9,1,5.3,Car,13.27,Evening,0
345,38,East,1,30.8,5.26,1,4.1,Car,10.25,Night,0
346,51,Downtown,17,25.9,3.67,1,3.6,Bike,8.5,Evening,0
347,54,Downtown,9,33.9,4.87,0,10.7,Car,8.62,Morning,1
348,8,North,3,36.1,1.17,1,0.4,Van,1.94,Night,0
349,27,South,0,17.1,6.09,1,1.7,Car,21.37,Night,0
350,27,South,14,36.3,2.36,1,0.5,Van,3.9,Afternoon,0
351,98,West,9,16.0,5.98,1,0.1,Bike,22.42,Morning,0
352,21,Downtown,17,32.7,4.04,1,0.1,Van,7.41,Evening,0
353,30,East,15,34.5,5.26,0,0.1,Bike,9.15,Afternoon,0
354,97,East,12,23.3,3.77,1,5.7,Van,9.71,Afternoon,0
355,28,West,14,24.5,3.56,1,0.6,Van,8.72,Afternoon,0
356,64,South,1,22.0,6.47,1,1.1,Car,17.65,Night,0
357,97,East,19,16.8,3.75,1,2.7,Van,13.39,Evening,0
358,69,South,3,18.6,3.2,1,1.6,Bike,10.32,Night,0
359,61,West,0,30.0,2.9,1,8.5,Van,5.8,Night,0
360,48,South,6,33.6,6.71,1,4.9,Bike,11.98,Morning,0
361,19,South,22,24.9,2.76,1,2.0,Bike,6.65,Late Night,0
362,4,South,10,14.9,5.01,0,1.9,Van,20.17,Morning,0
363,35,East,9,13.5,9.43,1,5.8,Van,41.91,Morning,0
364,64,North,0,23.9,3.62,0,0.9,Van,9.09,Night,0
365,49,Downtown,10,19.7,3.44,1,1.6,Bike,10.48,Morning,0
366,17,South,23,36.9,7.17,1,2.2,Van,11.66,Late Night,0
367,44,South,9,18.0,2.63,1,3.0,Van,8.77,Morning,0
368,92,South,13,31.0,7.17,0,1.1,Bike,13.88,Afternoon,0
369,30,North,13,18.8,4.24,1,0.9,Bike,13.53,Afternoon,0
370,93,West,6,22.2,6.81,1,23.0,Bike,18.41,Morning,1
371,46,East,22,26.7,5.88,1,12.2,Car,13.21,Late Night,1
372,6,North,10,30.2,6.15,1,3.7,Bike,12.22,Morning,0
373,99,South,21,29.2,4.11,1,7.3,Bike,8.45,Late Night,0
374,37,North,3,19.4,4.22,1,5.6,Bike,13.05,Night,0
375,24,North,23,26.0,3.96,1,0.4,Bike,9.14,Late Night,0
376,93,North,1,21.3,7.66,1,3.6,Bike,21.58,Night,0
377,46,West,6,10.7,5.01,1,1.0,Car,28.09,Morning,0
378,53,Downtown,18,27.3,8.9,1,4.4,Car,19.56,Evening,0
379,95,East,13,37.6,5.46,0,0.3,Van,8.71,Afternoon,0
380,99,West,18,40.4,4.63,1,0.9,Car,6.88,Evening,0
381,60,West,6,28.2,4.57,1,7.6,Car,9.72,Morning,0
382,97,Downtown,11,27.5,3.61,1,9.3,Car,7.88,Morning,0
383,63,West,2,5.0,5.45,1,11.9,Van,65.4,Night,1
